ADDRESS,LATITUDE,LONGITUDE,POSTAL CODE,NETWORK,PORT TYPE,AVAILABLE PORT,CHARGING FEE,ACCESSIBILITY,Operating Time,ACTIVATION METHOD
210 E 5th Ave,49.26643889,-123.1003066,V5T 0K1,Flo,EV Plug (J1772),5,$1.50/hr,Public,00:00 to 24:00,"Network App,Network RFID"
2221 Main St,49.2653089,-123.1012645,V5T 1J5,ChargePoint,CCS & CHAdeMO,2,$12.60/hr,Public,00:00 to 24:00,"ChargeHub App,Network App,Network RFID,Visa,Mastercard"
2221 Main St,49.2653089,-123.1012645,V5T 1J5,ChargePoint,EV Plug (J1772),6,$2.00/hr,Public,00:00 to 24:00,"ChargeHub App,Network App,Network RFID,Visa,Mastercard"
225 N Renfrew St,49.28733448,-123.0444159,V5K 3N8,ChargePoint,EV Plug (J1772),2,$1.00/hr,Public,00:00 to 24:00,"ChargeHub App,Network App,Network RFID,Visa,Mastercard"
2323 Boundary Rd,49.26390562,-123.0247716,V5M 4W5,ChargePoint,EV Plug (J1772),2,Free,Public,00:00 to 24:00,"Network App,Network RFID"
2395 Boundary Rd,49.26282283,-123.0242831,V5M 4W5,ChargePoint,EV Plug (J1772),1,Free,Public,00:00 to 24:00,"ChargeHub App,Network App,Network RFID"
2675 Oak St,49.26209514,-123.1269226,V6H 2K2,Flo,EV Plug (J1772),2,$2.50/hr,Public,00:00 to 24:00,"Network App,Network RFID"
2710 Yukon St,49.2612175,-123.1127794,V5Y 3R1,ChargePoint,CCS & CHAdeMO,2,$12.60/hr,Public,00:00 to 24:00,"ChargeHub App,Network App,Network RFID"
272 E 53rd Ave,49.222282,-123.10009,V5X 1H9,ChargePoint,EV Plug (J1772),2,$2.00/hr,Public,00:00 to 24:00,"ChargeHub App,Network App,Network RFID,Visa,Mastercard"
273 E 53rd Ave,49.22223502,-123.1000952,V5X 1H7,ChargePoint,EV Plug (J1772),2,$2.00/hr,Public,00:00 to 24:00,"ChargeHub App,Network App,Network RFID,Visa,Mastercard"
2830 Bentall St,49.25990381,-123.0308543,V5M 4H4,Flo,EV Plug (J1772),1,$1.50/hr,Public,00:00 to 24:00,"Network App,Network RFID"
2830 Bentall St,49.25990381,-123.0308543,V5M 4H4,Flo,CCS & CHAdeMO,3,$20.00/hr,Public,00:00 to 24:00,"Network App,Network RFID"
285 W 5th Ave,49.26696239,-123.1104501,V5Y 1J3,ChargePoint,EV Plug (J1772),2,$1.00/hr,Public,00:00 to 24:00,"ChargeHub App,Network App,Network RFID,Visa,Mastercard"
2920 Virtual Way,49.2598281,-123.0437478,V5M 4X7,Flo,EV Plug (J1772),10,Free,Public,00:00 to 24:00,"Network App,Network RFID"
2920 Virtual Way,49.2598281,-123.0437478,V5M 4X7,Flo,CCS & CHAdeMO,1,$15/hr,Public,00:00 to 24:00,"Network App,Network RFID"
300 1111 W Georgia St,49.28006136,-123.1145198,V6E 4G2,None,EV Plug (J1772),2,Free,Public,00:00 to 24:00,No network activation required
300 1111 W Georgia St,49.28006136,-123.1145198,V6E 4G2,Tesla,Tesla,3,Free,Public,00:00 to 24:00,No network activation required
3138 Riverwalk Ave,49.20592376,-123.0415626,V5S 0B6,ChargePoint,EV Plug (J1772),2,$1.50/hr,Public,00:00 to 24:00,"ChargeHub App,Network App,Network RFID,Visa,Mastercard"
3185 Grandview Highway,49.2590676,-123.0367669,V5M 2E9,BC Hydro EV,CCS & CHAdeMO,2,$12.726/hr,Public,00:00 to 24:00,"Network App,Network RFID"
3195 Granville St,49.25737812,-123.1393023,V6H 3K2,Flo,EV Plug (J1772),3,$2.00/hr,Public,00:00 to 24:00,"Network App,Network RFID"
322 Davie St,49.27478497,-123.1226403,V6B 5Z6,Tesla,EV Plug (J1772),2,Free,Restricted,00:00 to 24:00,No network activation required
3311 E. Hastings,49.281369,-123.033786,V5K 5J3,Shell Recharge,CCS & CHAdeMO,2,$12.60/hr,Public,00:00 to 24:00,"ChargeHub App,Network App"
3335 Webber Lane,49.25420561,-123.2375117,V6T 1W5,BC Hydro EV,CCS & CHAdeMO,2,$12.726/hr,Public,00:00 to 24:00,"Network App,Network RFID"
3350 Maquinna Dr,49.215032,-123.032341,V5S 4C6,Shell Recharge,EV Plug (J1772),3,$2.00/hr,Public,00:00 to 24:00,"ChargeHub App,Network App"
3350 Maquinna Drive,49.2149995,-123.0320235,V5S 4C6,Shell Recharge,EV Plug (J1772),3,$2.00/hr,Public,00:00 to 24:00,"ChargeHub App,Network App"
3360 Victoria Dr,49.256637,-123.065749,V5N 4M4,Shell Recharge,EV Plug (J1772),3,$2.00/hr,Public,00:00 to 24:00,"ChargeHub App,Network App"
344 W 7th Ave,49.26481449,-123.112143,V5Y 1M4,ChargePoint,EV Plug (J1772),1,Free,Public,00:00 to 24:00,"ChargeHub App,Network App,Network RFID"
35 E 13th Ave,49.25976172,-123.1041538,V5T 2K2,ChargePoint,EV Plug (J1772),1,Free,Public,00:00 to 24:00,"ChargeHub App,Network App,Network RFID"
350 SE Marine Drive,49.2086908,-123.0995161,V5X 3L8,BC Hydro EV,CCS & CHAdeMO,2,$12.726/hr,Public,00:00 to 24:00,"Network App,Network RFID"
350 W Georgia St,49.27978036,-123.1154665,V6B 6B3,Shell Recharge,EV Plug (J1772),3,Free,Public,00:00 to 24:00,"ChargeHub App,Network App"
3505 Grandview Highway,49.25871011,-123.0280316,V5M 2G7,On the Run,CCS & CHAdeMO,2,Free,Public,00:00 to 24:00,Network App
3650 Charles St,49.27280267,-123.0251996,V5K 5A9,Flo,EV Plug (J1772),2,$2.00/hr,Public,00:00 to 24:00,"Network App,Network RFID"
400 Burrard St,49.28682125,-123.1171054,V6C 3A6,ChargePoint,EV Plug (J1772),4,Free,Public,00:00 to 24:00,"ChargeHub App,Network App,Network RFID,Visa,Mastercard"
