SCHOOL_ID,NAME,BOARD,CITY,PROVINCE,GRADES,POSTSECOND,DATA_SOURCE,ELEM,JUNIOR_H,SENIOR_H,POSTAL_COD,LATITUDE,LONGITUDE
253,McKenzie Highlands School,The Calgary School Division,Calgary,AB,Elementary/Junior High,N,N,Y,Y,N,T2Z4B7,50.90942673,-113.9682348
254,McKenzie Lake School,The Calgary School Division,Calgary,AB,Elementary,N,N,Y,N,N,T2Z1L7,50.90670828,-113.9846687
255,McKenzie Towne School,The Calgary School Division,Calgary,AB,Elementary,N,N,Y,N,N,T2Z0V3,50.92719777,-113.9667827
256,Menno Simons Christian School,The Palliser School Division,Calgary,AB,Elementary/Junior High,N,N,Y,Y,N,T3H4Y7,51.02415334,-114.1885126
257,Midnapore School,The Calgary School Division,Calgary,AB,Elementary,N,N,Y,N,N,T2X1L7,50.91514201,-114.0555852
258,Midsun School,The Calgary School Division,Calgary,AB,Elementary/Junior High,N,N,Y,Y,N,T2X3R5,50.90185577,-114.0301867
259,Monsignor A. J. Hetherington Elementary School,The Calgary Roman Catholic Separate School Division,Calgary,AB,Elementary,N,N,Y,N,N,T3J3J3,51.09967435,-113.9340054
260,Monsignor E. L. Doyle Elementary School,The Calgary Roman Catholic Separate School Division,Calgary,AB,Elementary,N,N,Y,N,N,T3L1H6,51.12224892,-114.2165541
261,Monsignor J. J. O'Brien,The Calgary Roman Catholic Separate School Division,Calgary,AB,Elementary/Junior High,N,N,Y,Y,N,T2Y4J5,50.90199032,-114.1036825
262,Monsignor J. S. Smith School,The Calgary Roman Catholic Separate School Division,Calgary,AB,Elementary/Junior High,N,N,Y,Y,N,T2Z2H9,50.94130734,-113.9902626
263,Monsignor Neville Anderson School,The Calgary Roman Catholic Separate School Division,Calgary,AB,Elementary,N,N,Y,N,N,T3K4B2,51.13974225,-114.1038089
264,Monterey Park School,The Calgary School Division,Calgary,AB,Elementary,N,N,Y,N,N,T1Y6R2,51.07810774,-113.9305355
265,Montessori School of Calgary,Montessori School of Calgary,Calgary,AB,Elementary,N,N,Y,N,N,T2S2G4,51.03352237,-114.0759392
266,Mother Mary Greene School,The Calgary Roman Catholic Separate School Division,Calgary,AB,Elementary,N,N,Y,N,N,T3A3S8,51.12459742,-114.1396007
267,Mount Royal School,The Calgary School Division,Calgary,AB,Junior High,N,N,N,Y,N,T2T3T3,51.03498664,-114.0933735
268,Mount View School,The Calgary School Division,Calgary,AB,Elementary,N,N,Y,N,N,T2E3T8,51.06995075,-114.0522833
269,Mountain Park School,The Calgary School Division,Calgary,AB,Elementary/Junior High,N,N,Y,Y,N,T2Z4Y1,50.92371113,-113.9825393
270,Mountain View Academy,Mountain View Academy Society,Calgary,AB,Elementary/Junior High/Senior High,N,N,Y,Y,Y,T1Y6Z8,51.0885342,-113.9860573
271,National Sport School,The Palliser School Division,Calgary,AB,Junior High/Senior High,N,N,N,Y,Y,T3B6B7,51.08431535,-114.2226153
272,Nellie McClung School,The Calgary School Division,Calgary,AB,Elementary,N,N,Y,N,N,T2V3S4,50.9687203,-114.1127909
273,Nelson Mandela High School,The Calgary School Division,Calgary,AB,Senior High,N,N,N,N,Y,T3J4W3,51.12384027,-113.9492368
274,Neriah Christian School,Neriah Christian School Society of the Netherlands Reformed Congregation,Calgary,AB,Elementary/Junior High,N,N,Y,Y,N,T2X2K4,50.90872692,-114.0588151
275,New Brighton School,The Calgary School Division,Calgary,AB,Elementary,N,N,Y,N,N,T2Z4B2,50.91972012,-113.9544555
276,New Heights School and Learning Services,New Heights School and Learning Services Society,Calgary,AB,Elementary/Junior High/Senior High,N,N,Y,Y,Y,T3E7M1,51.01943375,-114.1211576
277,Nickle School,The Calgary School Division,Calgary,AB,Junior High,N,N,N,Y,N,T2J2Y6,50.94111891,-114.0616132
278,Niitsitapi Learning Centre,The Calgary School Division,Calgary,AB,Elementary,N,N,Y,N,N,T2B2E1,51.02123541,-113.9793792
279,North Haven School,The Calgary School Division,Calgary,AB,Elementary,N,N,Y,N,N,T2K2K2,51.09765018,-114.086837
280,North Middle School Campus,Foundations for the Future Charter Academy Charter School Society,Calgary,AB,Elementary/Junior High,N,N,Y,Y,N,T2E5S7,51.09608501,-114.0603916
281,North Point School,North Point School for Boys,Calgary,AB,Elementary/Junior High/Senior High,N,N,Y,Y,Y,T2T0W3,51.03289177,-114.117497
282,North Point School - DSEPS,North Point School for Boys,Calgary,AB,Elementary/Junior High/Senior High,N,N,Y,Y,Y,T2T0W3,51.03289177,-114.117497
283,North Point School for Boys,North Point School for Boys,Calgary,AB,Elementary/Junior High,N,N,Y,Y,N,T2T0W3,51.03290526,-114.1176043
284,North Trail High School,The Calgary School Division,Calgary,AB,Junior High/Senior High,N,N,N,Y,Y,T3K2S3,51.16762162,-114.0660234
285,Northeast Elementary Campus,Foundations for the Future Charter Academy Charter School Society,Calgary,AB,Elementary,N,N,Y,N,N,T2E6C8,51.06423839,-114.0116631
286,Northern Lights School,The Calgary School Division,Calgary,AB,Elementary,N,N,Y,N,N,,51.15729176,-114.0469594
287,Northwest Elementary Campus,Foundations for the Future Charter Academy Charter School Society,Calgary,AB,Elementary,N,N,Y,N,N,T2K0J5,51.09327299,-114.0779717
288,Nose Creek School,The Calgary School Division,Calgary,AB,Elementary/Junior High,N,N,Y,Y,N,T3K5W9,51.16713883,-114.0607915
289,Notre Dame High School,The Calgary Roman Catholic Separate School Division,Calgary,AB,Senior High,N,N,N,N,Y,T3K6E4,51.1581662,-114.0660574
290,O. S. Geiger School,The Calgary School Division,Calgary,AB,Elementary,N,N,Y,N,N,T3J2J4,51.10451879,-113.9618936
291,Olympic Heights School,The Calgary School Division,Calgary,AB,Elementary,N,N,Y,N,N,T3H2Z7,51.04648874,-114.1808164
292,Our Lady of Fatima,The Calgary Roman Catholic Separate School Division,Calgary,AB,Elementary,N,N,Y,N,N,T3J5C4,51.11623291,-113.9378785
293,Our Lady of Grace School,The Calgary Roman Catholic Separate School Division,Calgary,AB,Elementary/Junior High,N,N,Y,Y,N,T3P0N7,51.17920051,-114.1224127
294,Our Lady of Lourdes,The Calgary Roman Catholic Separate School Division,Calgary,AB,Elementary/Junior High,N,N,Y,Y,N,T2S1S3,51.03498677,-114.0682793
295,Our Lady of Peace Elementary Junior High School,The Calgary Roman Catholic Separate School Division,Calgary,AB,Elementary/Junior High,N,N,Y,Y,N,T2Y2B4,50.91856256,-114.0884911
